COD_NA88;Desc_lbl_fr;Desc_lbl_en;Desc_lbl_pt
68;Activités immobilières;Real estate activities;Atividades imobiliárias
69;Activités juridiques et comptables;Legal and accounting activities;Atividades legais e contábeis
70;Activités des sièges sociaux ;Head office activities;Atividades da matriz
71;Activités d'architecture et d'ingénierie ;Architecture and engineering activities;Atividades de arquitetura e engenharia
72;Recherche-développement scientifique;Scientific research-development;Desenvolvimento de pesquisa científica
73;Publicité et études de marché;Advertising and market studies;Publicidade e estudos de mercado
74;Autres activités spécialisées, scientifiques et techniques;Other specialized, scientific and technical activities;Outras atividades especializadas, científicas e técnicas
75;Activités vétérinaires;Veterinary activities;Atividades veterinárias
77;Activités de location et location-bail;Rental and rental-lease activities;Atividades de aluguel e aluguel de aluguel
78;Activités liées à l'emploi;Employment -related activities;Atividades relacionadas ao emprego
79;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Travel agencies, tour operators, reservation services and related activities;Agências de viagens, operadores turísticos, serviços de reserva e atividades relacionadas
80;Enquêtes et sécurité;Surveys and security;Pesquisas e segurança
81;Services relatifs aux bâtiments et aménagement paysager;Services relating to buildings and landscaping;Serviços relacionados a edifícios e paisagismo
82;Activités administratives et autres activités de soutien aux entreprises;Administrative activities and other business support activities;Atividades administrativas e outras atividades de suporte de negócios
84;Administration publique et défense ;Public administration and defense;Administração pública e defesa
85;Enseignement;Education;Educação
86;Activités pour la santé humaine;Human health activities;Atividades de saúde humana
87;Hébergement médico-social et social;Medico-social and social accommodation;Medico-social e acomodação social
88;Action sociale sans hébergement;Social action without accommodation;Ação social sem acomodação
90;Activités créatives, artistiques et de spectacle;Creative, artistic and show activities;Atividades criativas, artísticas e de show
91;Bibliothèques, archives, musées et autres activités culturelles;Libraries, archives, museums and other cultural activities;Bibliotecas, arquivos, museus e outras atividades culturais
92;Organisation de jeux de hasard et d'argent;Organization of games of chance and money;Organização de Jogos de Chance e Dinheiro
93;Activités sportives, récréatives et de loisirs;Sports, recreational and leisure activities;Atividades esportivas, recreativas e de lazer
94;Activités des organisations associatives;Activities activities;Atividades de atividades
95;Réparation d'ordinateurs et de biens personnels et domestiques;Compensation for computers and personal and domestic goods;Compensação para computadores e bens pessoais e domésticos
96;Autres services personnels;Other personal services;Outros serviços pessoais
97;Activités des ménages en tant qu'employeurs de personnel domestique;Household activities as supporters of domestic personnel;Atividades domésticas como apoiadores do pessoal doméstico
98;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;Undifferentiated activities of households as producers of goods and services for clean use;Atividades indiferenciadas das famílias como produtores de bens e serviços para uso limpo
99;Activités des organisations et organismes extraterritoriaux;Activities of organizations and extraterritorial organizations;Atividades de organizações e organizações extraterritoriais
